Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
In the Company of Men,2883661,2883661,NA,25000,1-Aug-97,R,NA,Sony Pictures Classics,Based on Play,Drama,Contemporary Fiction,Neil LaBute,89,7.2,7601
The Inkwell,8864699,8864699,NA,8000000,22-Apr-94,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,NA,29,5.7,542
Invaders from Mars,4884663,4984663,NA,12000000,6-Jun-86,NA,NA,Cannon,Remake,Horror,Science Fiction,Tobe Hooper,27,5,1933
L'incomparable mademoiselle C.,493905,493905,NA,3400000,23-Apr-04,Not Rated,NA,NA,NA,NA,NA,NA,NA,6.1,66
The Island,15716828,15716828,NA,22000000,13-Jun-80,PG-13,138,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,NA,6.9,82601
Eye See You,79161,1807990,NA,55000000,20-Sep-02,Not Rated,NA,NA,NA,NA,NA,NA,NA,5.1,397
In the Heat of the Night,24379978,24379978,NA,2000000,2-Aug-67,NA,NA,MGM,NA,NA,NA,Norman Jewison,96,8.1,22429
Jack,58617334,58617334,NA,45000000,9-Aug-96,PG-13,113,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17,5.3,17267
Jade,9812870,9812870,NA,50000000,13-Oct-95,R,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,William Friedkin,16,4.8,5279
Jingle All the Way,60592389,129832389,NA,60000000,22-Nov-96,PG,89,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16,4.9,22928
Dr. No,16067035,59567035,NA,1000000,8-May-63,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,NA,7.3,36019
The Jungle Book,44342956,44342956,NA,27000000,25-Dec-94,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,NA,5.8,5564
Judge Dredd,34687912,113487912,NA,85000000,30-Jun-95,R,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,NA,15,4.9,30736
The Jerky Boys,7555256,7555256,NA,4000000,3-Feb-95,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,10,3.9,1481
Jefferson in Paris,2461628,2461628,NA,14000000,31-Mar-95,PG-13,NA,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,James Ivory,36,5.6,1464
JFK,70405498,205400000,NA,40000000,20-Dec-91,R,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83,8,59684
Journey from the Fall,635305,635305,NA,1300000,23-Mar-07,R,NA,Imaginasian,Original Screenplay,Drama,Historical Fiction,NA,92,7.2,586
Jekyll and Hyde... Together Again,3707583,3707583,NA,5000000,27-Aug-82,NA,NA,Universal,Based on Book/Short Story,Comedy,Science Fiction,NA,NA,5.5,486
Jumanji,100458310,262758310,NA,65000000,15-Dec-95,PG,NA,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48,6.4,54973
The Juror,22730924,22730924,NA,44000000,2-Feb-96,R,120,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,16,5.3,6482
Jerusalema,7294,7294,NA,2000000,11-Jun-10,R,NA,Anchor Bay Entertainment,Original Screenplay,NA,Historical Fiction,NA,NA,7.9,6777
Jurassic Park,357067947,923067947,NA,63000000,10-Jun-93,PG-13,NA,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87,7.9,151365
Johnny Suede,55000,55000,NA,500000,NA,NA,NA,Miramax,Original Screenplay,Drama,NA,NA,NA,5.8,1587
Jaws,260000000,470700000,NA,12000000,20-Jun-75,PG,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100,8.3,138017
Jaws 2,102922376,208900376,NA,20000000,16-Jun-78,PG,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,NA,56,5.6,18793
Jaws 4: The Revenge,15728335,15728335,NA,23000000,17-Jul-87,PG-13,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,NA,NA,2.6,15632
Kabhi Alvida Naa Kehna,3275443,32575443,NA,10750000,11-Aug-06,Not Rated,NA,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,NA,67,5.6,4128
Kickboxer,14533681,14533681,NA,1500000,8-Sep-89,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,Mark DiSalle,NA,5.5,11692
Kids,7412216,20412216,NA,1500000,21-Jul-95,Not Rated,90,Shining Excalibur,Original Screenplay,Drama,Contemporary Fiction,NA,50,6.7,26122
Kingpin,25023424,32223424,NA,25000000,26-Jul-96,R,113,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51,6.7,28404
Kindergarten Cop,91457688,202000000,NA,26000000,21-Dec-90,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50,5.8,40433
King Kong (1933),10000000,10000000,NA,670000,7-Apr-33,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
King Kong,52614445,90614445,NA,23000000,17-Dec-76,NA,NA,NA,NA,NA,NA,John Guillermin,46,7.6,132720
Kiss of Death,14942422,14942422,NA,40000000,21-Apr-95,R,NA,20th Century Fox,Remake,Drama,Contemporary Fiction,Barbet Schroeder,67,7.6,2374
Kingdom of the Spiders,17000000,17000000,NA,500000,NA,NA,NA,NA,NA,NA,NA,NA,44,5.7,1463
Keeping it Real: The Adventures of Greg Walloch,1358,1358,NA,100000,9-Nov-01,Not Rated,NA,Avatar,NA,NA,NA,NA,NA,NA,NA
Akira,19585,19585,NA,8000000,27-Apr-01,R,NA,NA,Based on Comic/Graphic Novel,Action,NA,NA,NA,7.9,39948
Krush Groove,11052713,11052713,NA,3000000,25-Oct-85,NA,NA,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.8,588
Krrish,1430721,32430721,NA,10000000,23-Jun-06,Not Rated,NA,AdLab Films,Original Screenplay,Action,Science Fiction,NA,100,6.1,2735
Kansas City,1353824,1353824,NA,19000000,16-Aug-96,R,NA,New Line,Original Screenplay,Drama,Historical Fiction,Robert Altman,58,6,2397
The Last Emperor,43984000,43984000,NA,25000000,20-Nov-87,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Dramatization,Bernardo Bertolucci,91,7.9,24262
Last Action Hero,50016394,137298489,NA,85000000,18-Jun-93,NA,NA,Sony Pictures,Original Screenplay,Action,Fantasy,John McTiernan,38,5.9,43171
Live and Let Die,35400000,161800000,NA,7000000,27-Jun-73,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,64,6.8,24044
Lage Raho Munnabhai,2217561,31517561,NA,2700000,1-Sep-06,Not Rated,NA,Eros Entertainment,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7.8,5236
The Last Waltz,321952,321952,NA,35000,5-Apr-02,Not Rated,NA,MGM,NA,NA,NA,NA,NA,8,6893
The Last Big Thing,22434,22434,NA,1000000,25-Sep-98,R,NA,Stratosphere Entertainment,NA,NA,NA,NA,NA,6,139
The Land Before Time,48092846,81972846,NA,12300000,18-Nov-88,NA,NA,Universal,Original Screenplay,Adventure,Historical Fiction,Don Bluth,71,6.9,14017
The Longest Day,39100000,50100000,NA,10000000,4-Oct-62,NA,NA,20th Century Fox,Based on Real Life Events,Action,Dramatization,NA,92,7.8,17712
The Living Daylights,51185000,191200000,NA,40000000,31-Jul-87,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,73,6.7,23735
Aladdin,217350219,504050219,NA,28000000,11-Nov-92,G,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,NA,NA,7.8,69090
A Low Down Dirty Shame,29317886,29317886,NA,10000000,23-Nov-94,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Keenen Ivory Wayans,NA,5.4,1847
Love and Death on Long Island,2542264,2542264,NA,4030000,6-Mar-98,PG-13,NA,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,6.9,2506
Ladyhawke,18400000,18400000,NA,20000000,12-Apr-85,NA,NA,Warner Bros.,Original Screenplay,Action,Fantasy,Richard Donner,63,6.7,15260
Nikita,5017971,5017971,NA,7000000,8-Mar-91,NA,NA,Goldwyn Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,NA,7.5,24872
Lion of the Desert,1500000,1500000,NA,35000000,NA,NA,NA,United Film Distribution Co.,NA,NA,NA,NA,NA,7.8,2659
Legal Eagles,49851591,49851591,NA,40000000,18-Jun-86,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50,5.6,4471
Legend,15502112,15502112,NA,25000000,18-Apr-86,NA,NA,Universal,Original Screenplay,Adventure,Fantasy,Ridley Scott,NA,6.1,20734
The Last House on the Left,3100000,3100000,NA,87000,30-Aug-72,R,NA,NA,NA,NA,NA,NA,63,6.7,22141
Lifeforce,11603545,11603545,NA,25000000,21-Jun-85,NA,NA,Sony/TriStar,Based on Book/Short Story,Horror,Science Fiction,Tobe Hooper,57,5.8,5727
Lady in White,1705139,1705139,NA,4700000,22-Apr-88,NA,NA,New Century Vista Film Company,Original Screenplay,Horror,Fantasy,NA,73,6.6,2221
The Long Kiss Goodnight,33447612,33447612,NA,65000000,11-Oct-96,R,120,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69,6.6,28257
Lake of Fire,25317,25317,NA,6000000,3-Oct-07,Not Rated,NA,ThinkFilm,Based on Real Life Events,Documentary,Factual,NA,NA,8.4,1027
Elling,313436,313436,NA,2100000,29-May-02,R,NA,NA,NA,NA,NA,NA,NA,7.5,7114
Lolita (1962),9250000,9250000,NA,2000000,1-Jan-62,NA,NA,NA,NA,Drama,NA,Stanley Kubrick,NA,NA,NA
Elmer Gantry,10400000,10400000,NA,3000000,NA,NA,NA,NA,NA,NA,NA,Richard Brooks,96,7.8,4185
El Mariachi,2040920,2040920,NA,7000,26-Feb-93,NA,NA,Sony/Columbia,Original Screenplay,Action,NA,Robert Rodriguez,NA,7,19668
Last Man Standing,18115927,18115927,NA,67000000,20-Sep-96,R,100,New Line,Original Screenplay,Action,Historical Fiction,Walter Hill,NA,NA,NA
Aliens,85160248,183316455,NA,17000000,18-Jul-86,R,137,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100,7.5,84
Alien³,54927174,158500000,NA,55000000,22-May-92,R,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,David Fincher,37,6.3,78860
The Lion King,328539505,783839505,NA,79300000,15-Jun-94,G,NA,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92,8.2,136503
Love and Death,20123742,20123742,NA,3000000,10-Jun-75,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,100,7.6,12111
Love and Other Catastrophes,212285,743216,NA,250000,28-Mar-97,R,NA,Fox Searchlight,NA,Comedy,NA,NA,NA,5.7,1406
Love Letters,5269990,5269990,NA,550000,27-Apr-84,PG-13,NA,New World,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,7.3,477
The Legend of the Lone Ranger,13400000,13400000,NA,18000000,22-May-81,NA,NA,Universal,Remake,Western,Historical Fiction,NA,NA,4.6,755
The Last of the Mohicans,72455275,72455275,NA,40000000,25-Sep-92,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Historical Fiction,Michael Mann,97,7.8,45410
Love Me Tender,9000000,9000000,NA,1000000,NA,NA,NA,NA,NA,NA,NA,NA,38,5.9,1301
The Long Riders,15198912,15198912,NA,10000000,16-May-80,NA,NA,United Artists,Original Screenplay,Action,Historical Fiction,Walter Hill,79,7.1,3791
Losin' It,1246141,1246141,NA,7000000,8-Apr-83,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1668
The Loss of Sexual Innocence,399793,399793,NA,4000000,28-May-99,NA,NA,Sony Pictures,NA,NA,NA,Mike Figgis,45,4.9,2263
Legends of the Fall,66502573,66502573,NA,30000000,23-Dec-94,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,63,7.1,39815
A League of Their Own,107533925,132440066,NA,40000000,1-Jul-92,NA,NA,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Penny Marshall,81,6.9,33426
Loaded Weapon 1,27979399,27979399,NA,13000000,5-Feb-93,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.7,17637
The Lost Weekend,11000000,11000000,NA,1250000,NA,NA,NA,NA,NA,NA,NA,Billy Wilder,100,8.2,11864
Le petit Nicolas,201857,52339566,NA,30000000,19-Feb-10,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1505
Logan's Run,25000000,25000000,NA,7000000,NA,NA,NA,NA,NA,NA,Science Fiction,NA,70,6.7,14947
Betty Fisher et autres histoires,206400,206400,NA,7500000,13-Sep-02,Not Rated,NA,WellSpring,Based on Book/Short Story,Drama,NA,NA,NA,6.9,1054
Light Sleeper,1050861,1050861,NA,5000000,21-Sep-92,NA,NA,NA,NA,NA,NA,NA,94,6.7,1986
Little Shop of Horrors,38747385,38747385,NA,30000000,19-Dec-86,NA,NA,Warner Bros.,Remake,Musical,Fantasy,Frank Oz,91,6.6,21521
Lone Star,12961389,12961389,NA,5000000,21-Jun-96,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,92,7.6,14599
Latter Days,833118,833118,NA,850000,30-Jan-04,R,NA,TLA Releasing,NA,Drama,Contemporary Fiction,NA,NA,7.4,7157
Lethal Weapon,65192350,120192350,NA,15000000,6-Mar-87,NA,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,90,7.6,54994
Lethal Weapon 3,144731527,319700000,NA,35000000,15-May-92,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56,6.5,39735
The Last Time I Committed Suicide,12836,12836,NA,4000000,20-Jun-97,R,NA,Roxie Releasing,NA,NA,NA,NA,NA,5.7,1181
Little Voice,4595000,4595000,NA,6000000,4-Dec-98,R,NA,Miramax,Based on Play,Musical,Contemporary Fiction,NA,83,6.9,8453
The Last Temptation of Christ,8373585,8373585,NA,7000000,12-Aug-88,NA,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,83,7.5,20934
License to Kill,34667015,156167015,NA,42000000,14-Jul-89,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,NA,6.5,24558
Cama adentro,200433,200433,NA,800000,18-Jul-07,Not Rated,NA,Film Sales Company,Original Screenplay,Drama,Historical Fiction,NA,NA,7.2,466
Leaving Las Vegas,31983777,49800000,NA,4000000,27-Oct-95,R,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,89,7.6,42131
The Lawnmower Man,32100816,32100816,NA,10000000,6-Mar-92,NA,NA,New Line,Original Screenplay,Action,Science Fiction,NA,47,5.1,12607
Lone Wolf McQuade,12232628,12232628,NA,5000000,15-Apr-83,NA,NA,Orion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,NA,5.8,2917
Little Women,50003303,50003303,NA,15000000,21-Dec-94,PG,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,NA,89,7.1,16514
Lawrence of Arabia,37495385,69995385,NA,15000000,16-Dec-62,NA,NA,Sony Pictures,Based on Book/Short Story,Adventure,Dramatization,David Lean,98,8.6,79421
Menace II Society,27731527,27731527,NA,3500000,26-May-93,R,NA,New Line,Original Screenplay,Action,Contemporary Fiction,Albert Hughes,85,7.4,14807
Much Ado About Nothing,22549338,22549338,NA,8000000,7-May-93,NA,NA,Goldwyn Entertainment,Based on Play,Drama,Historical Fiction,Kenneth Branagh,90,7.4,22470
