Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Cape Fear,79091969,182291969,NA,35000000,15-Nov-91,R,NA,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196
Clear and Present Danger,122012656,207500000,NA,62000000,3-Aug-94,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612
Carrie,25878153,25878153,NA,1800000,16-Nov-76,NA,NA,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767
Casino Royale,22744718,41744718,NA,12000000,28-Apr-67,NA,NA,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30,8,172936
Camping Sauvage,3479302,3479302,NA,4600000,16-Jul-04,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,6,378
The Cotton Club,25928721,25928721,NA,48000000,14-Dec-84,NA,NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940
Close Encounters of the Third Kind,166000000,337700000,NA,20000000,16-Nov-77,NA,NA,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049
The Cable Guy,60240295,102825796,NA,47000000,14-Jun-96,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109
Chocolate: Deep Dark Secrets,49000,1549000,NA,1000000,16-Sep-05,Not Rated,NA,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.6,527
Child's Play,33244684,44196684,NA,9000000,9-Nov-88,NA,NA,United Artists,Original Screenplay,Horror,Fantasy,NA,70,6.3,16165
Child's Play 2,26904572,34166572,NA,13000000,9-Nov-90,NA,NA,Universal,Original Screenplay,Horror,Fantasy,NA,38,5.1,8666
Chain Reaction,21226204,60209334,NA,55000000,2-Aug-96,PG-13,106,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13,5.2,15817
Charly,814666,814666,NA,950000,27-Sep-02,PG,NA,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,5.8,60
Chariots of Fire,57159946,57159946,NA,5500000,25-Sep-81,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138
A Christmas Story,19294144,19294144,NA,3250000,18-Nov-83,PG,NA,MGM,Based on Book/Short Story,Comedy,Historical Fiction,NA,88,8,51757
Cat on a Hot Tin Roof,17570324,17570324,NA,3000000,20-Sep-58,NA,NA,MGM,Based on Play,Drama,Contemporary Fiction,Richard Brooks,100,8,14540
C.H.U.D.,4700000,4700000,NA,1250000,31-Aug-84,NA,NA,New World,Original Screenplay,Horror,Fantasy,NA,NA,5,2806
Crooklyn,13024170,13024170,NA,14000000,13-May-94,PG-13,NA,Universal,Original Screenplay,Comedy,Historical Fiction,Spike Lee,75,6.5,3137
Festen,1647780,1647780,NA,1300000,9-Oct-98,R,NA,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,NA,8.1,26607
Cleopatra,48000000,62000000,NA,36000000,12-Jun-63,NA,NA,20th Century Fox,Based on Real Life Events,Drama,Dramatization,NA,40,6.8,7870
Cliffhanger,84049211,255000000,NA,65000000,28-May-93,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,82,6.2,34447
The Californians,4134,4134,NA,500000,21-Oct-05,PG,NA,Fabrication Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.1,226
The Client,92115211,117615211,NA,45000000,20-Jul-94,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Joel Schumacher,80,6.5,19299
The Calling,32092,32092,NA,160000,1-Mar-02,PG,NA,Testimony Pictures,Original Screenplay,Drama,Contemporary Fiction,Michael C. Brown,NA,3.4,1113
Clueless,56598476,56598476,NA,13700000,1-Jul-95,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,83,6.7,39055
The Color Purple,93589701,93589701,NA,15000000,18-Dec-85,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Spielberg,88,7.7,26962
Clerks,3073428,3073428,NA,27000,19-Oct-94,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,88,7.9,89991
Central do Brasil,5969553,17006158,NA,2900000,20-Nov-98,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,NA,8,17343
Clash of the Titans,30000000,30000000,NA,15000000,12-Jun-81,NA,108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,NA,65,5.9,45773
Clockwatchers,444354,444354,NA,2000000,15-May-98,PG-13,NA,Artistic License,NA,NA,NA,NA,NA,5.9,3171
Commando,35073978,35073978,NA,10000000,4-Oct-85,NA,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,NA,71,4.5,49
The Color of Money,52293000,52293000,NA,10000000,17-Oct-86,NA,NA,Walt Disney Pictures,NA,Drama,Contemporary Fiction,Martin Scorsese,91,6.9,25824
Cinderella,85000000,85000000,NA,2900000,15-Feb-50,NA,NA,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,Fantasy,NA,92,5.1,373
Congo,81022333,152022333,NA,50000000,9-Jun-95,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Contemporary Fiction,Frank Marshall,21,4.6,17954
Conan the Barbarian,38264085,38264085,NA,20000000,14-May-82,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886
Conan the Destroyer,26400000,26400000,NA,18000000,29-Jun-84,NA,NA,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368
Class of 1984,6965361,6965361,NA,3250000,20-Aug-82,NA,NA,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.3,2945
The Clan of the Cave Bear,1953732,1953732,NA,15000000,17-Jan-86,NA,NA,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,NA,13,4.9,2763
The Case of the Grinning Cat,7033,7033,NA,200000,21-Jul-06,Not Rated,NA,First Run/Icarus,Based on Real Life Events,Documentary,Factual,NA,NA,NA,NA
Bacheha-Ye aseman,925402,925402,NA,180000,22-Jan-99,PG,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,8,6657
Coming Home,32653000,32653000,NA,3000000,NA,NA,NA,NA,NA,NA,NA,Hal Ashby,81,7.3,4410
Cool Runnings,68856263,155056263,NA,14000000,1-Oct-93,NA,NA,Walt Disney Pictures,Based on Real Life Events,Comedy,Contemporary Fiction,Jon Turteltaub,73,6.5,24533
Conquest of the Planet of the Apes,9700000,9700000,NA,1700000,NA,NA,NA,NA,NA,NA,NA,Jack Lee Thompson,44,5.8,6188
Cure,94596,94596,NA,10000,6-Jul-01,Not Rated,NA,NA,NA,NA,NA,NA,NA,7.4,2724
